symbol,name,counterparty_asset
NMNI,Nomni,NOMNI
SVC,Sovereign Coin,
MRC,Moor Cash,
MOR,Moor Coin,
MXC,Mexia Coin,
NEO,Neo Cash,
BTC,Bitcoin,BTC
XCP,Counterparty,XCP
ERC,Europa Cash,
STC,Sterling Cash,
RPC,Rupee Cash,
ADC,Eustri Cash,
CDC,Canadia Cash,
SGC,Singap Cash,
SWC,Swiss Cash,
OLM,Olmec Cash,
RGC,Ringgit Cash,
YNC,Yen Cash,
RMC,Renminbi Cash,
ZLC,Zeal Cash,
BHC,Baht Cash,
FTC,Forint Cash,
DMC,Dirham Cash,
HGC,Hong Cash,
PTN,Peso Cash,
RDC,Rand Cash,
KRC,Krona Cash,
RHC,Rupiah Cash,
RYC,Riyal Cash,
REL,Real Cash,
LRC,Lira Cash,
SGC,Shilling Cash,
WNC,Won Cash,
PDC,Pound Cash,
DRC,Dinar Cash,
KNC,Krone Cash,
RBC,Ruble Cash,
SLC,Shekel Cash,
ZLC,Zloty Cash,
ILC,Rial Cash,
TWC,Taiwa Cash,
CZK,Koruna Cash,
DGC,Dong Cash,
HVC,Hryvnia Cash,
NRC,Naira Cash,
LUC,Leu Cash,
TKC,Taka Cash,
SCH,Sol Cash,
LRH,Lari Cash,
FJC,Fiji Cash,
BVC,Bolívar Cash,
RBC,Ruble Cash,
KUC,Kuna Cash,
SMC,Som Cash,
LVC,Lev Cash,
IRR,Rial Cash,
CRC,Colon Cash,
JMC,Jama Cash,
GHC,Ghana (Cedi) Cash,
KZC,Kwanza Cash,
EGC,Efghani Cash,
TNC,Trin Cash,
LEC,Lek Cash,
QZC,Quetzal Cash,
BOC,Bolíviano Cash,
ZWC,Zimbabwean Cash,
BJC,Bajan Cash,
LKC,Lao Kip Cash,
BNC,Bruneian Cash,
PAC,Pula Cash,
LPC,Lempira Cash,
GRC,Guarani Cash,
BRC,Birr Cash,
NAC,Namibian Cash,
KAC,Kina Cash,
PCA,Pataca Cash,
CBC,Cordoba Cash,
BMC,Bermudian Cash,
TGC,Tenge Cash,
BLC,Balboa Cash,
MKA,Marka Cash,
GYC,Guyanese Cash,
EYC,Eriary Cash,
MNC,Caymanian Cash,
MTC,Metical Cash,
DMC,Dram Cash,
SOC,Solomon Islander Cash,
MTC,Manat Cash,
LNC,Leone Cash,
PGC,Pa’anga Cash,
BZC,Belizean Cash,
MWC,Kwacha Cash,
GMC,Dalasi Cash,
GDC,Gourde Cash,
RFC,Rufiyaa Cash,
TKC,Tughrik Cash,
DBC,Dobra Cash,
TJC,Tajikistani Cash,
KTC,Kyat Cash,
LOT,Loti Cash,
LRC,Liberian Cash,
LEU,Leu Cash,
RLC,Riel Cash,
DEN,Denar Cash,
VUC,Vatu Cash,
OYC,Ouguiya Cash,
GRC,Guilder Cash,
LGC,Lilangeni Cash,
ESC,Escudo Cash,
SMC,Surinamese Cash,
NLC,Ngultrum Cash,
TLC,Tala Cash,
LUG,Luigino Cash,
NFC,Nakfa Cash,
TVC,Tuvaluan Cash,
SYG,Synergy Cash,
ZMC,Zambia (Kwacha) Cash,
GEC,Geneih Cash,
